,YEAR,WEEK,RANK,PLAYER,ATT,RUSH YDS,Y/A,LG,20+,RUSH TD,REC,TGT,REC YDS,Y/R,REC TD,FL,G,Zero PPR,Half PPR,One PPR,Unnamed: 20
831,2021,7,1,Alvin Kamara (NO) ,20,51,2.6,12,0,0,10,11,128,12.8,1,0,1,23.9,28.9,33.9,0
1593,2020,3,1,Alvin Kamara (NO) ,6,58,9.7,49,3,0,13,14,117,10.7,2,0,1,31.7,38.2,44.7,0
1906,2020,8,56,Joshua Kelley (LAC) ,7,32,4.6,22,1,0,1,1,-7,-7,0,0,1,2.5,3,3.5,0
2228,2020,14,74,Latavius Murray (DEN) ,4,13,3.3,7,0,0,1,1,-6,-6,0,0,1,0.7,1.2,1.7,0
1753,2020,5,53,Malcolm Brown (LAR) ,8,30,3.8,12,0,0,1,2,-6,-6,0,0,1,2.4,2.9,3.4,0
1772,2020,6,13,Miles Sanders (PHI) ,9,118,13.1,74,5,0,1,2,-6,-6,0,0,1,11.2,11.7,12.2,0
1328,2021,16,22,Josh Jacobs (LV) ,27,127,4.8,19,0,0,1,3,-5,-5,0,1,1,10.4,10.9,11.4,0
934,2021,8,83,Alexander Mattison (MIN) ,2,5,2.5,4,0,0,2,2,-5,-2.5,0,0,1,0,1,2,0
1959,2020,9,72,Le'Veon Bell (FA) ,4,8,2,4,0,0,1,1,-5,-5,0,0,1,0.3,0.8,1.3,0
2008,2020,10,63,Devin Singletary (BUF) ,4,15,3.8,13,0,0,1,3,-5,-5,0,0,1,1,1.5,2,0
295,2022,4,55,Kenneth Walker III (SEA) ,8,29,3.6,13,0,0,1,1,-5,-5,0,0,1,2.4,2.9,3.4,0
1351,2021,16,52,Saquon Barkley (NYG) ,15,32,2.1,7,0,0,1,1,-4,-4,0,0,1,2.8,3.3,3.8,0
684,2021,4,28,Michael Carter (NYJ) ,13,38,2.9,13,0,1,1,3,-4,-4,0,0,1,9.4,9.9,10.4,0
517,2021,1,44,Javonte Williams (DEN) ,14,45,3.2,12,0,0,1,1,-4,-4,0,0,1,4.1,4.6,5.1,0
399,2022,2,43,Ezekiel Elliott (DAL) ,15,53,3.5,11,0,0,1,2,-4,-4,0,0,1,4.9,5.4,5.9,0
1787,2020,6,30,Devonta Freeman (FA) ,18,61,3.4,14,0,0,1,2,-4,-4,0,0,1,5.7,6.2,6.7,0
909,2021,8,34,Khalil Herbert (CHI) ,23,72,3.1,22,1,0,2,2,-4,-2,0,0,1,6.8,7.8,8.8,0
650,2021,3,63,Damien Harris (NE) ,6,14,2.3,7,0,0,2,2,-3,-1.5,0,0,1,1.1,2.1,3.1,0
2004,2020,10,57,Zack Moss (IND) ,7,20,2.9,14,0,0,1,2,-3,-3,0,0,1,1.7,2.2,2.7,0
866,2021,7,45,Miles Sanders (PHI) ,6,30,5,9,0,0,1,1,-3,-3,0,0,1,2.7,3.2,3.7,0
457,2022,1,44,Ezekiel Elliott (DAL) ,10,52,5.2,7,0,0,1,2,-3,-3,0,0,1,4.9,5.4,5.9,0
1551,2020,2,23,Antonio Gibson (WAS) ,13,55,4.2,11,0,1,1,2,-3,-3,0,0,1,11.2,11.7,12.2,0
1823,2020,7,12,Derrick Henry (TEN) ,20,75,3.8,17,0,1,2,2,-3,-1.5,0,0,1,13.2,14.2,15.2,0
2075,2020,12,10,Wayne Gallman Jr. (KC) ,24,94,3.9,18,0,1,3,5,-3,-1,0,0,1,15.1,16.6,18.1,0
791,2021,6,14,Alex Collins (FA) ,20,101,5.1,21,1,1,1,1,-3,-3,0,0,1,15.8,16.3,16.8,0
725,2021,5,9,James Robinson (NYJ) ,18,107,8.3,58,4,1,1,1,-2,-2,0,0,1,20.7,21.2,21.7,0
1103,2021,12,2,Joe Mixon (CIN) ,28,91,5.9,32,3,2,4,4,-2,-0.5,0,0,1,28.3,30.3,32.3,0
824,2021,6,57,Jamaal Williams (DET) ,4,11,2.8,6,0,0,1,2,-2,-2,0,0,1,0.9,1.4,1.9,0
869,2021,7,55,Nyheim Hines (BUF) ,8,14,1.8,8,0,0,1,3,-2,-2,0,0,1,1.2,1.7,2.2,0
2393,2020,17,60,Malcolm Brown (LAR) ,3,20,6.7,12,0,0,1,1,-2,-2,0,0,1,1.8,2.3,2.8,0
1954,2020,9,57,James Conner (ARI) ,9,22,2.4,6,0,0,2,2,-2,-1,0,0,1,2,3,4,0
32,2022,9,45,D'Onta Foreman (CAR) ,7,23,3.3,6,0,0,2,3,-2,-1,0,0,1,2.1,3.1,4.1,0
764,2021,5,55,Devin Singletary (BUF) ,6,25,4.2,9,0,0,1,2,-2,-2,0,0,1,2.3,2.8,3.3,0
1199,2021,13,45,Mark Ingram II (NO) ,10,28,2.8,9,0,0,1,2,-2,-2,0,0,1,2.6,3.1,3.6,0
437,2022,1,20,Khalil Herbert (CHI) ,9,45,5,12,0,1,1,1,-2,-2,0,0,1,10.3,10.8,11.3,0
1016,2021,10,29,Melvin Gordon III (DEN) ,9,45,5,15,0,1,1,4,-2,-2,0,1,1,8.3,8.8,9.3,0
343,2022,3,41,Miles Sanders (PHI) ,15,46,3.1,13,0,0,1,1,-2,-2,0,0,1,4.4,4.9,5.4,0
1469,2020,1,6,Dalvin Cook (MIN) ,12,50,4.2,12,0,2,1,2,-2,-2,0,0,1,16.8,17.3,17.8,4
2095,2020,12,36,Alvin Kamara (NO) ,11,54,4.9,15,0,0,1,2,-2,-2,0,0,1,5.2,5.7,6.2,0
