,YEAR,WEEK,RANK,PLAYER,REC,TGT,REC YDS,Y/R,LG,20+,REC TD,ATT,RUSH YDS,RUSH TD,FL,G,Zero PPR,Half PPR,One PPR
203,2022,7,48,Mark Andrews (BAL) ,0,2,0,0,0,0,0,1,4,0,0,1,0.4,0.4,0.4
422,2021,5,37,Austin Hooper (TEN) ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
833,2021,18,49,Jonnu Smith (NE) ,0,0,0,0,0,0,0,1,5,0,0,1,0.5,0.5,0.5
1196,2020,12,46,Jordan Akins (HOU) ,0,2,0,0,0,0,0,1,4,0,0,1,0.4,0.4,0.4
30,2022,1,56,Mike Gesicki (MIA) ,1,1,1,1,1,0,0,0,0,0,0,1,0.1,0.6,1.1
534,2021,9,15,Jack Doyle (FA) ,1,2,1,1,1,0,1,0,0,0,0,1,6.1,6.6,7.1
658,2021,13,7,Jimmy Graham (FA) ,1,1,1,1,1,0,1,0,0,0,0,1,6.1,6.6,7.1
755,2021,16,13,Harrison Bryant (CLE) ,1,1,1,1,1,0,1,0,0,0,0,1,6.1,6.6,7.1
783,2021,17,12,Harrison Bryant (CLE) ,1,1,1,1,1,0,1,0,0,0,0,1,6.1,6.6,7.1
915,2020,3,19,Hayden Hurst (CIN) ,1,3,1,1,1,0,1,0,0,0,0,1,6.1,6.6,7.1
936,2020,3,56,Drew Sample (CIN) ,1,1,1,1,1,0,0,0,0,0,0,1,0.1,0.6,1.1
29,2022,1,54,Drew Sample (CIN) ,1,1,2,2,2,0,0,0,0,0,0,1,0.2,0.7,1.2
105,2022,4,16,Noah Fant (SEA) ,1,1,2,2,2,0,1,0,0,0,0,1,6.2,6.7,7.2
152,2022,5,51,Gerald Everett (LAC) ,1,3,2,2,2,0,0,0,0,0,0,1,0.2,0.7,1.2
584,2021,10,47,Anthony Firkser (ATL) ,1,2,2,2,2,0,0,0,0,0,0,1,0.2,0.7,1.2
743,2021,15,56,Drew Sample (CIN) ,1,1,2,2,2,0,0,0,0,0,0,1,0.2,0.7,1.2
1082,2020,8,48,Cole Kmet (CHI) ,1,1,2,2,2,0,0,0,0,0,0,1,0.2,0.7,1.2
1110,2020,9,46,Rob Gronkowski (FA) ,1,6,2,2,2,0,0,0,0,0,0,1,0.2,0.7,1.2
1178,2020,12,17,Dawson Knox (BUF) ,1,1,2,2,2,0,1,0,0,0,0,1,6.2,6.7,7.2
1241,2020,14,15,Rob Gronkowski (FA) ,1,2,2,2,2,0,1,0,0,0,0,1,6.2,6.7,7.2
253,2022,9,48,Mike Gesicki (MIA) ,1,2,3,3,3,0,0,0,0,0,0,1,0.3,0.8,1.3
327,2021,2,56,Gerald Everett (LAC) ,1,2,3,3,3,0,0,0,0,0,0,1,0.3,0.8,1.3
396,2021,4,55,Harrison Bryant (CLE) ,1,2,3,3,3,0,0,0,0,0,0,1,0.3,0.8,1.3
397,2021,4,56,Adam Trautman (NO) ,1,1,3,3,3,0,0,0,0,0,0,1,0.3,0.8,1.3
618,2021,11,53,Drew Sample (CIN) ,1,2,3,3,3,0,0,0,0,0,0,1,0.3,0.8,1.3
651,2021,12,52,Foster Moreau (LV) ,1,5,3,3,3,0,0,0,0,0,0,1,0.3,0.8,1.3
652,2021,12,53,Tyler Higbee (LAR) ,1,5,3,3,3,0,0,0,0,0,0,1,0.3,0.8,1.3
659,2021,13,9,Cameron Brate (TB) ,1,1,3,3,3,0,1,0,0,0,0,1,6.3,6.8,7.3
691,2021,14,11,Hayden Hurst (CIN) ,1,1,3,3,3,0,1,0,0,0,0,1,6.3,6.8,7.3
739,2021,15,47,Jonnu Smith (NE) ,1,3,3,3,3,0,0,1,2,0,0,1,0.5,1,1.5
742,2021,15,55,Will Dissly (SEA) ,1,1,3,3,3,0,0,0,0,0,0,1,0.3,0.8,1.3
903,2020,2,48,Irv Smith Jr. (MIN) ,1,4,3,3,3,0,0,0,0,0,0,1,0.3,0.8,1.3
913,2020,3,15,Harrison Bryant (CLE) ,1,2,3,3,3,0,1,0,0,0,0,1,6.3,6.8,7.3
946,2020,4,15,Cameron Brate (TB) ,1,1,3,3,3,0,1,0,0,0,0,1,6.3,6.8,7.3
1023,2020,6,43,Cameron Brate (TB) ,1,1,3,3,3,0,0,0,0,0,0,1,0.3,0.8,1.3
124,2022,4,55,Austin Hooper (TEN) ,1,1,4,4,4,0,0,0,0,0,0,1,0.4,0.9,1.4
204,2022,7,49,Jonnu Smith (NE) ,1,3,4,4,4,0,0,0,0,0,0,1,0.4,0.9,1.4
326,2021,2,55,C.J. Uzomah (NYJ) ,2,2,4,2,3,0,0,0,0,0,0,1,0.4,1.4,2.4
359,2021,3,49,Jonnu Smith (NE) ,1,6,4,4,4,0,0,0,0,0,0,1,0.4,0.9,1.4
433,2021,5,58,Jack Doyle (FA) ,1,1,4,4,4,0,0,0,0,0,0,1,0.4,0.9,1.4
465,2021,6,49,Austin Hooper (TEN) ,1,3,4,4,4,0,0,0,0,0,0,1,0.4,0.9,1.4
521,2021,8,49,Adam Trautman (NO) ,2,6,4,2,5,0,0,0,0,0,0,1,0.4,1.4,2.4
522,2021,8,50,Hayden Hurst (CIN) ,2,3,4,2,7,0,0,0,0,0,0,1,0.4,1.4,2.4
554,2021,9,45,Jonnu Smith (NE) ,1,2,4,4,4,0,0,1,4,0,0,1,0.8,1.3,1.8
709,2021,14,48,Dalton Schultz (DAL) ,1,3,4,4,4,0,0,0,0,0,0,1,0.4,0.9,1.4
740,2021,15,51,Durham Smythe (MIA) ,1,1,4,4,4,0,0,0,0,0,0,1,0.4,0.9,1.4
741,2021,15,52,Adam Trautman (NO) ,1,2,4,4,4,0,0,0,0,0,0,1,0.4,0.9,1.4
834,2021,18,50,Evan Engram (JAC) ,1,5,4,4,4,0,0,0,0,0,0,1,0.4,0.9,1.4
996,2020,5,47,Logan Thomas (WAS) ,1,4,4,4,4,0,0,0,0,0,0,1,0.4,0.9,1.4
1007,2020,6,15,Durham Smythe (MIA) ,1,2,4,4,4,0,1,0,0,0,0,1,6.4,6.9,7.4
1151,2020,11,16,Dan Arnold (JAC) ,1,2,4,4,4,0,1,0,0,0,0,1,6.4,6.9,7.4
1301,2020,15,53,Drew Sample (CIN) ,1,1,4,4,4,0,0,0,0,0,0,1,0.4,0.9,1.4
28,2022,1,49,Dawson Knox (BUF) ,1,2,5,5,5,0,0,0,0,0,0,1,0.5,1,1.5
57,2022,2,46,Durham Smythe (MIA) ,1,1,5,5,5,0,0,0,0,0,0,1,0.5,1,1.5
92,2022,3,57,Logan Thomas (WAS) ,2,3,5,2.5,5,0,0,0,0,0,0,1,0.5,1.5,2.5
93,2022,3,59,C.J. Uzomah (NYJ) ,1,1,5,5,5,0,0,0,0,0,0,1,0.5,1,1.5
151,2022,5,48,Albert Okwuegbunam (DEN) ,1,1,5,5,5,0,0,0,0,0,0,1,0.5,1,1.5
202,2022,7,46,C.J. Uzomah (NYJ) ,1,2,5,5,5,0,0,0,0,0,0,1,0.5,1,1.5
229,2022,8,50,Austin Hooper (TEN) ,1,1,5,5,5,0,0,0,0,0,0,1,0.5,1,1.5
230,2022,8,51,Jordan Akins (HOU) ,1,2,5,5,5,0,0,0,0,0,0,1,0.5,1,1.5
395,2021,4,52,Will Dissly (SEA) ,2,2,5,2.5,3,0,0,0,0,0,0,1,0.5,1.5,2.5
782,2021,17,11,Cameron Brate (TB) ,2,3,5,2.5,4,0,1,0,0,0,0,1,6.5,7.5,8.5
801,2021,17,46,Albert Okwuegbunam (DEN) ,2,2,5,2.5,6,0,0,0,0,0,0,1,0.5,1.5,2.5
868,2020,1,49,Harrison Bryant (CLE) ,1,2,5,5,5,0,0,0,0,0,0,1,0.5,1,1.5
869,2020,1,50,Anthony Firkser (ATL) ,2,2,5,2.5,6,0,0,0,0,0,0,1,0.5,1.5,2.5
935,2020,3,53,Will Dissly (SEA) ,2,2,5,2.5,6,0,0,0,0,0,0,1,0.5,1.5,2.5
1109,2020,9,44,Robert Tonyan (GB) ,1,1,5,5,5,0,0,0,0,0,0,1,0.5,1,1.5
1137,2020,10,44,Anthony Firkser (ATL) ,1,3,5,5,5,0,0,0,0,0,0,1,0.5,1,1.5
1138,2020,10,45,Jordan Akins (HOU) ,1,1,5,5,5,0,0,0,0,0,0,1,0.5,1,1.5
1195,2020,12,43,Tyler Conklin (NYJ) ,1,2,5,5,5,0,0,0,0,0,0,1,0.5,1,1.5
1227,2020,13,47,David Njoku (CLE) ,1,1,5,5,5,0,0,0,0,0,0,1,0.5,1,1.5
1228,2020,13,48,Hunter Henry (NE) ,1,2,5,5,5,0,0,0,0,0,0,1,0.5,1,1.5
1266,2020,14,56,Anthony Firkser (ATL) ,1,1,5,5,5,0,0,0,0,0,0,1,0.5,1,1.5
1374,2020,17,55,Jimmy Graham (FA) ,2,2,5,2.5,3,0,0,0,0,0,0,1,0.5,1.5,2.5
1375,2020,17,56,Adam Trautman (NO) ,1,1,5,5,5,0,0,0,0,0,0,1,0.5,1,1.5
26,2022,1,47,Anthony Firkser (ATL) ,1,2,6,6,6,0,0,0,0,0,0,1,0.6,1.1,1.6
27,2022,1,48,Austin Hooper (TEN) ,1,2,6,6,6,0,0,0,0,0,0,1,0.6,1.1,1.6
91,2022,3,56,Mike Gesicki (MIA) ,1,1,6,6,6,0,0,0,0,0,0,1,0.6,1.1,1.6
150,2022,5,47,T.J. Hockenson (MIN) ,1,4,6,6,6,0,0,0,0,0,0,1,0.6,1.1,1.6
291,2021,1,47,Dan Arnold (JAC) ,2,3,6,3,5,0,0,0,0,0,0,1,0.6,1.6,2.6
324,2021,2,53,Zach Ertz (ARI) ,1,2,6,6,6,0,0,0,0,0,0,1,0.6,1.1,1.6
325,2021,2,54,Hayden Hurst (CIN) ,1,1,6,6,6,0,0,0,0,0,0,1,0.6,1.1,1.6
357,2021,3,43,Robert Tonyan (GB) ,1,1,6,6,6,0,0,0,0,0,0,1,0.6,1.1,1.6
358,2021,3,44,Albert Okwuegbunam (DEN) ,1,1,6,6,6,0,0,0,0,0,0,1,0.6,1.1,1.6
393,2021,4,49,Durham Smythe (MIA) ,2,2,6,3,4,0,0,0,0,0,0,1,0.6,1.6,2.6
394,2021,4,50,Cole Kmet (CHI) ,1,3,6,6,6,0,0,0,0,0,0,1,0.6,1.1,1.6
464,2021,6,47,David Njoku (CLE) ,1,2,6,6,6,0,0,0,0,0,0,1,0.6,1.1,1.6
565,2021,10,10,Cameron Brate (TB) ,1,3,6,6,6,0,1,0,0,0,0,1,6.6,7.1,7.6
583,2021,10,42,Mo Alie-Cox (IND) ,1,2,6,6,6,0,0,0,0,0,0,1,0.6,1.1,1.6
708,2021,14,44,Jordan Akins (HOU) ,1,1,6,6,6,0,0,0,0,0,0,1,0.6,1.1,1.6
738,2021,15,46,Hayden Hurst (CIN) ,2,2,6,3,4,0,0,0,0,0,0,1,0.6,1.6,2.6
832,2021,18,46,Tyler Conklin (NYJ) ,2,4,6,3,9,0,0,0,0,0,0,1,0.6,1.6,2.6
993,2020,5,41,David Njoku (CLE) ,1,1,6,6,6,0,0,0,0,0,0,1,0.6,1.1,1.6
994,2020,5,42,Zach Ertz (ARI) ,1,6,6,6,6,0,0,0,0,0,0,1,0.6,1.1,1.6
995,2020,5,43,Dalton Schultz (DAL) ,1,3,6,6,6,0,0,0,0,0,0,1,0.6,1.1,1.6
1150,2020,11,15,Jack Doyle (FA) ,1,2,6,6,6,0,1,0,0,0,0,1,6.6,7.1,7.6
1165,2020,11,45,Logan Thomas (WAS) ,2,5,6,3,6,0,0,1,2,0,0,1,0.8,1.8,2.8
1166,2020,11,46,Jared Cook (FA) ,1,1,6,6,6,0,0,0,0,0,0,1,0.6,1.1,1.6
