,YEAR,WEEK,RANK,PLAYER,REC,TGT,REC YDS,Y/R,LG,20+,REC TD,ATT,RUSH YDS,RUSH TD,FL,G,Zero PPR,Half PPR,One PPR
0,2022,1,1,Justin Jefferson (MIN) ,9,11,184,20.4,64,9,2,0,0,0,0,1,30.4,34.9,39.4
1,2022,1,2,Davante Adams (LV) ,10,17,141,14.1,41,5,1,0,0,0,0,1,20.1,25.1,30.1
2,2022,1,3,Ja'Marr Chase (CIN) ,10,16,129,12.9,24,2,1,0,0,0,0,1,18.9,23.9,28.9
3,2022,1,4,Cooper Kupp (LAR) ,13,15,128,9.8,28,3,1,0,0,0,0,1,18.8,25.3,31.8
4,2022,1,5,Stefon Diggs (BUF) ,8,9,122,15.3,53,5,1,0,0,0,0,1,18.2,22.2,26.2
5,2022,1,6,Michael Pittman Jr. (IND) ,9,13,121,13.4,28,2,1,0,0,0,0,1,18.1,22.6,27.1
6,2022,1,7,Michael Thomas (NO) ,5,8,57,11.4,21,2,2,0,0,0,0,1,17.7,20.2,22.7
7,2022,1,8,Devin Duvernay (BAL) ,4,4,54,13.5,25,1,2,0,0,0,0,1,17.4,19.4,21.4
8,2022,1,9,Robbie Anderson (ARI) ,5,8,102,20.4,75,4,1,0,0,0,0,1,16.2,18.7,21.2
9,2022,1,10,Jerry Jeudy (DEN) ,4,7,102,25.5,67,4,1,0,0,0,0,1,16.2,18.2,20.2
10,2022,1,11,A.J. Brown (PHI) ,10,13,155,15.5,54,4,0,0,0,0,0,1,15.5,20.5,25.5
11,2022,1,13,Gabe Davis (BUF) ,4,5,88,22,47,4,1,0,0,0,0,1,14.8,16.8,18.8
12,2022,1,14,Jaylen Waddle (MIA) ,4,5,69,17.3,42,3,1,1,8,0,0,1,13.7,15.7,17.7
13,2022,1,15,Sterling Shepard (NYG) ,2,4,71,35.5,65,4,1,0,0,0,0,1,13.1,14.1,15.1
14,2022,1,16,Mike Evans (TB) ,5,7,71,14.2,20,1,1,0,0,0,0,1,13.1,15.6,18.1
15,2022,1,17,Amon-Ra St. Brown (DET) ,8,12,64,8,29,1,1,0,0,0,0,1,12.4,16.4,20.4
16,2022,1,19,Rashod Bateman (BAL) ,2,5,59,29.5,55,4,1,0,0,0,0,1,11.9,12.9,13.9
17,2022,1,20,Terry McLaurin (WAS) ,2,4,58,29,49,3,1,0,0,0,0,1,11.8,12.8,13.8
18,2022,1,21,Christian Kirk (JAC) ,6,12,117,19.5,49,4,0,0,0,0,0,1,11.7,14.7,17.7
19,2022,1,22,Jarvis Landry (NO) ,7,9,114,16.3,40,5,0,0,0,0,0,1,11.4,14.9,18.4
20,2022,1,23,D.J. Chark Jr. (DET) ,4,8,52,13,22,1,1,0,0,0,0,1,11.2,13.2,15.2
21,2022,1,24,Curtis Samuel (WAS) ,8,11,55,6.9,13,0,1,4,17,0,1,1,11.2,15.2,19.2
22,2022,1,26,Deebo Samuel (SF) ,2,7,14,7,8,0,0,8,52,1,1,1,10.6,11.6,12.6
23,2022,1,27,Marquise Brown (ARI) ,4,6,43,10.8,26,1,1,0,0,0,0,1,10.3,12.3,14.3
24,2022,1,28,Tyreek Hill (MIA) ,8,12,94,11.8,26,2,0,1,6,0,0,1,10,14,18
25,2022,1,29,Tyler Boyd (CIN) ,4,7,33,8.3,22,1,1,0,0,0,0,1,9.3,11.3,13.3
26,2022,1,30,Julio Jones (TB) ,3,5,69,23,48,3,0,2,17,0,0,1,8.6,10.1,11.6
27,2022,1,31,Brandin Cooks (HOU) ,7,12,82,11.7,42,3,0,0,0,0,0,1,8.2,11.7,15.2
28,2022,1,32,Isaiah McKenzie (BUF) ,2,3,19,9.5,12,0,1,0,0,0,0,1,7.9,8.9,9.9
29,2022,1,34,Corey Davis (NYJ) ,6,10,77,12.8,17,0,0,0,0,0,0,1,7.7,10.7,13.7
30,2022,1,35,Mecole Hardman (KC) ,3,6,16,5.3,8,0,1,0,0,0,0,1,7.6,9.1,10.6
31,2022,1,37,Courtland Sutton (DEN) ,4,7,72,18,30,2,0,0,0,0,0,1,7.2,9.2,11.2
32,2022,1,38,Noah Brown (DAL) ,5,9,68,13.6,22,1,0,0,0,0,0,1,6.8,9.3,11.8
33,2022,1,39,Keenan Allen (LAC) ,4,4,66,16.5,42,3,0,0,0,0,0,1,6.6,8.6,10.6
34,2022,1,40,Zay Jones (JAC) ,6,9,65,10.8,18,0,0,0,0,0,0,1,6.5,9.5,12.5
35,2022,1,43,Jakobi Meyers (NE) ,4,6,55,13.8,27,1,0,1,7,0,0,1,6.2,8.2,10.2
36,2022,1,46,Donovan Peoples-Jones (CLE) ,6,11,60,10,15,0,0,0,0,0,0,1,6,9,12
37,2022,1,47,JuJu Smith-Schuster (KC) ,6,8,79,13.2,20,1,0,0,0,0,1,1,5.9,8.9,11.9
38,2022,1,49,Diontae Johnson (PIT) ,7,12,55,7.9,25,1,0,0,0,0,0,1,5.5,9,12.5
39,2022,1,50,Chase Claypool (CHI) ,4,6,18,4.5,6,0,0,6,36,0,0,1,5.4,7.4,9.4
40,2022,1,52,DJ Moore (CAR) ,3,6,43,14.3,26,1,0,1,7,0,0,1,5,6.5,8
41,2022,1,53,Elijah Moore (NYJ) ,5,7,49,9.8,24,1,0,0,0,0,0,1,4.9,7.4,9.9
42,2022,1,55,Brandon Aiyuk (SF) ,2,3,40,20,31,2,0,1,7,0,0,1,4.7,5.7,6.7
43,2022,1,58,Kendrick Bourne (NE) ,1,1,41,41,41,3,0,0,0,0,0,1,4.1,4.6,5.1
44,2022,1,59,Marquez Valdes-Scantling (KC) ,4,4,44,11,17,0,0,1,-3,0,0,1,4.1,6.1,8.1
45,2022,1,63,Marvin Jones Jr. (JAC) ,4,6,38,9.5,12,0,0,0,0,0,0,1,3.8,5.8,7.8
46,2022,1,65,Braxton Berrios (NYJ) ,5,6,37,7.4,13,0,0,0,0,0,0,1,3.7,6.2,8.7
47,2022,1,66,Adam Thielen (MIN) ,3,4,36,12,22,1,0,0,0,0,0,1,3.6,5.1,6.6
48,2022,1,68,Chris Godwin (TB) ,3,3,35,11.7,24,1,0,0,0,0,0,1,3.5,5,6.5
49,2022,1,71,Olamide Zaccheaus (ATL) ,4,4,49,12.3,22,1,0,0,0,0,1,1,2.9,4.9,6.9
50,2022,1,72,CeeDee Lamb (DAL) ,2,11,29,14.5,16,0,0,0,0,0,0,1,2.9,3.9,4.9
51,2022,1,73,Tyler Lockett (SEA) ,3,4,28,9.3,17,0,0,0,0,0,0,1,2.8,4.3,5.8
52,2022,1,74,Josh Reynolds (DET) ,1,3,28,28,28,1,0,0,0,0,0,1,2.8,3.3,3.8
53,2022,1,75,Cedrick Wilson Jr. (MIA) ,2,2,20,10,12,0,0,1,8,0,0,1,2.8,3.8,4.8
54,2022,1,76,Jamison Crowder (BUF) ,3,4,28,9.3,11,0,0,0,0,0,0,1,2.8,4.3,5.8
55,2022,1,77,Tee Higgins (CIN) ,2,2,27,13.5,18,0,0,0,0,0,0,1,2.7,3.7,4.7
56,2022,1,78,Nico Collins (HOU) ,2,3,26,13,18,0,0,0,0,0,0,1,2.6,3.6,4.6
57,2022,1,83,Kenny Golladay (NYG) ,2,2,22,11,15,0,0,0,0,0,0,1,2.2,3.2,4.2
58,2022,1,85,Byron Pringle (CHI) ,1,2,22,22,22,1,0,0,0,0,0,1,2.2,2.7,3.2
59,2022,1,86,Hunter Renfrow (LV) ,3,6,21,7,9,0,0,0,0,0,0,1,2.1,3.6,5.1
60,2022,1,87,Ray-Ray McCloud (SF) ,1,2,20,20,20,1,0,0,0,0,0,1,2,2.5,3
61,2022,1,88,Demarcus Robinson (BAL) ,2,4,19,9.5,11,0,0,0,0,0,0,1,1.9,2.9,3.9
62,2022,1,89,Sammy Watkins (GB) ,3,3,18,6,9,0,0,0,0,0,0,1,1.8,3.3,4.8
63,2022,1,91,Amari Cooper (CLE) ,3,6,17,5.7,9,0,0,0,0,0,0,1,1.7,3.2,4.7
64,2022,1,92,Mack Hollins (LV) ,1,1,16,16,16,0,0,0,0,0,0,1,1.6,2.1,2.6
65,2022,1,93,DK Metcalf (SEA) ,7,7,36,5.1,15,0,0,0,0,0,1,1,1.6,5.1,8.6
66,2022,1,95,K.J. Osborn (MIN) ,3,4,14,4.7,7,0,0,0,0,0,0,1,1.4,2.9,4.4
67,2022,1,96,Randall Cobb (GB) ,2,3,14,7,8,0,0,0,0,0,0,1,1.4,2.4,3.4
68,2022,1,98,Robert Woods (TEN) ,1,2,13,13,13,0,0,0,0,0,0,1,1.3,1.8,2.3
69,2022,1,99,Russell Gage (TB) ,2,2,13,6.5,7,0,0,0,0,0,0,1,1.3,2.3,3.3
70,2022,1,101,A.J. Green (ARI) ,2,4,13,6.5,8,0,0,0,0,0,0,1,1.3,2.3,3.3
71,2022,1,102,Allen Robinson II (LAR) ,1,2,12,12,12,0,0,0,0,0,0,1,1.2,1.7,2.2
72,2022,1,106,Mike Williams (LAC) ,2,4,10,5,6,0,0,0,0,0,0,1,1,2,3
73,2022,1,108,Joshua Palmer (LAC) ,3,4,5,1.7,5,0,0,1,4,0,0,1,0.9,2.4,3.9
74,2022,1,109,DeVante Parker (NE) ,1,2,9,9,9,0,0,0,0,0,0,1,0.9,1.4,1.9
